리뷰,실제,예측
우선 입실할 때 카운터에 계시는 사모님은 매우 친절하셨습니다 가운이 필요하시면 카운터에 요청하라는 문구도 입구에 적혀있어서 하나 부탁드렸더니 친절한 말투로 한 벌이면 되겠어요 하십니다 방에 입실했을 땐 전체적으로 정돈된 느낌에 나름 깔끔한 인상을 받았지만 걸으면서 실내화는 비치 안됨 바닥에 돌멩이 같은 게 몇 번이나 밟히고 쓰레기통에 전 고객이 버린 게 정리가 덜되어 있어서 좀 실망스러웠네요 욕실에 부분부분 보이는 물때 곰팡이는 노후돼서 그러려니 했네요 심하지는 않습니다만 유독 예민하신 분들에겐 거슬릴 수도 냉장고에는 생수 개와 음료수 개가 있고 입실할 때 주시는 어메니티는 잘 갖춰져 있었습니다 가격이 우선 착하고 주변에 식당도 많고 편의점도 바로 앞에 있어서 재방문 의사 충분합니다,중립,긍정
일단 주차장이 꽤나 크고 프런트도 널찍해서 처음 들어갈 때 좋은 인상을 받았습니다 객실 크기는 그다지 크진 않지만 그래도 있을 건 다 있고 비품도 정상 사용 가능했습니다 아쉬운 건 창문이 그다지 크진 않아서 좀 그런데 그래도 채광이나 통풍에는 문제없습니다 욕실은 그리 크진 않지만 욕조도 있고 깨끗하게 정돈된 편입니다 역시 아쉬운 건 세안용품의 퀄리티 그다지 저처럼 저주받은 피부를 가지신 분들에겐 개인이 휴대하시길 적극 권장 드립니다 전체적인 평을 하자면 적당한 가격대 빠른 체크인 이동 편리한 위치 적당한 시설이라고 말하고 싶네요,중립,부정
당일 방이 없어서 스위트 예약 가격 대비 쏘 쏘 디럭스 기준 만원 초반에 이용하면 위치 시설 등 만족할 수 있을 것 같음 추천함,중립,긍정
주차장 찾는 게 조금 힘들었네요 한번 스쳐가면 한참을 돌아서 다시 와야 해서 입지조건 좋습니다 호텔에서 나오면 바로 시내여서 저녁에 놀 곳 많아요,중립,긍정
안마의자 너무 좋습니다 일하고 쉴 때 이용해서 그런지 안마의자에만 시간 있었네요 넷플릭스도 바로바로 연결돼서 재밌게 봤습니다 숙박 가격도 적당해서 아주 만족스럽게 지내다가 왔네요 다음에도 오겠습니다,중립,긍정
침구가 깨끗해서 마음에 들었어요,중립,긍정
주차공간이 대 가능하고 저는 여유 있게 주차했고 데스크에 혹시나 해서 객실에 담배 냄새가 나는지 문의했는데 다 금연실이라고 설명 주셨습니다 객실 컨디션 좋아요 담배 냄새 없고 도 크고 시트 베개커버 다 좋았고 제 재방문 찜 리스트 상위에 있어요,중립,부정
건물도 깔끔하고 안내도 친절하시고 특히 전동 커튼이 편리해서 좋았습니다 다만 불편했던 점은 시 정도에 입실해서 샤워를 했는데 뜨거운 물이 나오지 않고 미지근한 살짝 차가운 온도 물이 나왔던 점입니다 프런트에 문의해 보니 현재 객실에 있는 사람의 거의 없어 물탱크에서 데워진 뜨거운 물이 빠지는 시간이 걸리기 때문에 물을 계속 틀고 있으면 나온다는 안내를 받았습니다 한 분 동안 틀었음에도 뜨거운 물이 나오지 않아 결국 어찌저찌 샤워는 했으나 이 부분은 조금 아쉬우면서도 평일이라 어쩔 수 없는 부분인 것 같기도 해서 이해가 되긴 했습니다,부정,중립
바로 옆에 모텔하고 같이 운영하고 있어 키를 받으러 옆에 모텔로 가야 합니다 가운은 비치되어 있지 않으니 참고하시고 문이나 외관은 좀 연식이 되어 보였는데 내부는 나름 깔끔합니다 바닥은 장판이 아니라 타일 같은 종류였는데 난방은 잘되어 오히려 더웠습니다 냄새는 별로 나지 않았고 스타일러와 대형은 좋았습니다 나름 가성비가 좋은 숙소라고 생각합니다,중립,긍정
처음 이용해 보고 난 소감 시설 티브이 침대는 쌔꺼가틈 가구는 약간 올드풍임 가격 예약하고 포인트 써서 입실해서 대만족 서비스 사장님은 친절하신 거가 틈,부정,중립
오랜만에 갔는데 카운터에 계신 사장님 직원분 엄청 친절하셔서 기분 좋았어요 방 업그레이드 시켜주셨눈데 감사합니다 딱 열자마자 바닥이 후끈후끈해서 아늑한 기분 들었고 컴퓨터 두 대 있어서 좋아했는데 둘 다 안 켜지더라고요 아쉽 옛날에 테라 한창 갔을 때 컴퓨터 두 대 있는 방은 게임하러 가는 맛으로 갔었는데 전기장판도 고장 났는지 코드 다시 꽂고 온도 아무리 높게 올려도 하나도 안 따뜻해졌어요 그래도 다음에 또 방문하겠지만 전기장판은 방마다 확인해 주셨으면 해요,긍정,중립
깨끗하고 위치도 걸어서 한옥마을 갈 수 있어서 좋았습니다 조금 좁은 늑낌은 있지만 숙박하기에 불편사항 없었네요 덕분에 잘 쉬다 갑니다,중립,긍정
비가 엄청 쏟아지는 하루라 체크인을 한 시간 앞당기고 체크인을 했습니다 추가요금은 오천 원입니다 지하층까지 있는 주차장은 주차하기에 넉넉하고 좋았습니다 전체적인 호텔 외관은 깨끗하고 좋아 보여 기대치가 높아 보였고 내부 첫인상은 좀 좁아 보이네요 룸은 깔끔하고 특히 침대가 편안해서 잠자기 너무 좋았고 욕실도 밝은 조명이라 환했고 샤워기 수압도 엄청 세요 방과 욕실 모두 아딤한사이즈 크기라 생각하면 됩니다 에어컨 작동 잘되고 싱크대는 왜 있는지 의문입니다 문 열고 닫기가 좀 불편하지만 나름 이유가 있겠지요 침대가 편해 잠자기 좋았습니다,중립,긍정
아침에 조식도 해주시고 감사합니다,중립,부정
가성비는 좋은데 침구류가 냄새나고 지저분함 매트리스는 뒤척일 때 스프링 소리 나고 스프링 몸에 자국 날 정도로 다 보임 밤새 못 잠 가렵고 냄새나고,중립,부정
객실이 넓고 따뜻한 물도 잘 나와요 욕조가 있어서 편안하게 쉬다 갑니다 전주 여행하느라 많이 걸었는데 반신욕으로 몸 풀고 가요 주변에 맥도날드랑 편의점 걸어서 오분 거리에 있어서 야식도 간단히 먹을 수 있어요,긍정,중립
층에 커피 머신 등도 잘 갖추어져 있고 사이다 등 음료도 구비되어 있어서 더 편리하고 유용하게 숙소에 머물 수 있었어요 방음이 조금 아쉽지만 시설 등 전체적으로 만족스럽습니다,긍정,부정
주차공간이 협소하여 밤늦게 가니 건물 밖 대지에 주차하였습니다 비가 왔다면 곤란한 상황 연출될 수 있을 것 같음 방은 청결하였으나 뜬금없이 주방 싱크대 공간이 왜 있는지 모르겠음 공간 활용이 조금 아쉬움 조식은 코로나로 도시락 받았는데 아쉬움 불고기는 질기고 그래도 가격 대비 하룻밤 지내기엔 괜찮았던 것 같습니다,긍정,중립
오랜 기간 여행 중이라 스타일러 된다 그래서 잘 됐다 싶었는데 안돼요 컴퓨터도 이상하고 키보드도 안 쳐지고 고장 난 거고 먼지며 뭐며 많아요 그냥 기본만 하면 만족하는데 여러모로 아쉬움이 많이 남는 곳이었어요 밑에 지방 마지막 여행지로 전주여행은 정말 재밌었고 일전에 한번 왔었던 곳이라 좋았는데 다음부턴 숙소는 좀 더 자세히 알아보고 와야 할 것 같아요 다른 곳과 차이가 스타일러라서 선택했는데 의미 없어지니 쪼금 짜증 났지만 많이 비싼 건 아니라서 하루 쉬었다 간다 생각하려고 합니다,중립,긍정
산정동에 위치한 에이치에비뉴입니다 두번째 방문입니다 자세히 이름은 기억은 안나지만 이전호텔을 와본기억이 있습니다 모텔 급이였는데 구조는 여인숙여관 에서 영감을 가진거같은 좀 거부감이 들더군요 그래서 두번다시 안갔구요 여인숙세대입니다 오픈은 한지 꽤 되었지만 예전 트라우마 덕인지 안갔었는데 누가 가보라고 억지로 예약을 해줘서 방문했습니다 그땐 담배냄새 안나고 친절해 에어컨 깨끗해 침구좋아 카드키 반납하러 퇴실 데스크방문때 빼곤 완벽 그리하여 내돈내산 두번째 방문입실전 데스크방문부터 전부 불쾌 리뷰볼줄아시는분은 다들 아실겁니다 리뷰는 절대 좋은것만 보면 안됩니다 낮은평점순으로보고 안좋은걸 본후 악의적인지 아닌지 걸러낸다 이렇게하여 판단하니 성공률이 꽤 높은쪽에 속합니다 이곳 리뷰도 공통적인게 있을겁니다 전화 저도 겪었습니다 무려두번이나 한번은 실수라 생각되지만 두번은 아니다 입실하자 분이내 퇴실 시간전 퇴실때 강력하게 클레임걸자 하지만 전날본 남자분이 피곤함에 쩔어계시는거보고 저분이 사장님이구나 인건비 아끼기위해 고생하는구나 찰나에 생각과 함께 그냥 내가 안오면 되지하고 나왔습니다 사설이 길었고 요즘시대는 숙박업소는 쉬기위해가는곳이고 놀러가는곳입니다 힐링 호캉스 그렇기에 침구류 어메니티 청결이 우선입니다 이곳은 머리카락 하나 찾기 힘들정도에 청결과 깨끗한 침구류 완벽한 어메니티 샴푸 리스제외 이지만 너무 피곤하신 나머지 입실전 데스크때부터 입실후와 퇴실전까지 지속적인 실수들은 개선해야할 최우선 과제가 아닌가 싶습니다 컨디션 좋으실때는 완벽에 가깝습니다 이점 참고하시길 바랍니다,부정,중립
이번에 전주여행 와서 처음 이곳에서 숙박을 했는데 출입구 들어오자마자 음료수샌드위치 만들어먹을수 있는곳토스트기에다가 데어먹을 수 있는 식빵 햄 치즈 피클 양배추 케찹 마요네즈 딸기쨈 등 구비 커피머신 팝콘이 있었고 프런트 옆에 다양한 아이스크림이 있어서 무제한으로 이용할 수 있어서 먹을 것을 좋아하는 우리는 정말 기분이 좋았고 객실에 들어오자마자 창문에 아기자기하게 여러 나라 국기들이 메달려 있어서 귀여웠고 옷을 살균하고 건조시킬 수 있는 스마트옷장도 있고 고급안마기도 있어서 옷도 살균하고 안마기도 계속 이용했습니다거기서 시원해서 안마 받다가 잠들어버렸었어요 그리고 개의 컴퓨터도 있었는데 졸려서 자는 바람에 아쉽게 게임을 못했네요 아쉬워요 욕실도 매우 넓었어요 좀 부끄러운 것은 변기있는 곳이 방안에서 봤을 때 적나라하게 보여서 매우 부끄러웠네요부끄 부끄 그리고 참고할 점은 냉장고에 냉동실이 약해서 아이스크림도 조금씩 가져와서 드셔야해용 정말 잘 쉬다갑니당 다음번에 또 여행 갈 기회가 있다면 또 이용하고싶네용,중립,부정
난방이 중앙관리식이에요 카운터에 말하니 온도 높여주셨는데 많이 따뜻하진 않으니 참고하세요,부정,중립
모텔이 모여있는 동네에 위치해 있다 보니 주변에 편의점이나 식당들이 많아서 좋아요 남자 직원분이 사장님이 듯한데 엄청 친절하시고 인상도 좋으시네요 객실의 크기는 적당하고 서비스로 넷플릭스디즈니플러스티빙왓챠애플라프텔유튜브 개나 있어서 심심할 틈이 없어요 모텔 입실시간이 시부터이고 퇴실 시간이 시라 꼬박 시간 사용할 수 있어서 영화도 보고 드라마도 보고 웹툰 만화도 보고 정말 정말 짱입니다 숙박 고객을 위한 간단 토스트 시리얼 라면 이 구비되어 있어서 좋아요,중립,긍정
북대는 항상 여기로 오는데 오늘은 주신 방 라인과 반대 라인으로 갔는데 테라스도 있고 좋았어요 테라스에서 흡연하도록 만들어놓은 것 같은데 담배 냄새도 안 나고 역시 와이 케이 자주 이용할게요,부정,중립
층의 스낵바는 실제로 사용하진 않는 것 같아요,중립,부정
대실 하러 종종 이용하는데 이 가격에 이 시간이면 가격 대비 이쪽 근방에서는 최고네요 객실 청결상태는 깨끗하긴 하지만 에어컨이 너무 더러워요 청소 안 한 지 너무 오래된 것 같습니다 안에 곰팡이와 먼지가 너무 적나라하게 보이네요 이 부분은 조치가 필요할듯싶습니다,부정,중립
침대도 포근해서 잘 보냈어요,중립,부정
침대가 생각보다 넓어서 너무 좋았어요 침대에서 뒹굴 수 있을 정도여서 다음에도 방문하고 싶네요,중립,긍정
착한 가격에 가성비 좋은 곳입니다 평상시와는 달리 이번에는 층이라 그런지 물 수압이 너무 약해서 사용하는데 좀 불편했어요 욕조도 있었으나 사용 불가 문구가 적혀져 있는 거 보니 고장인듯하네요 그래도 스타일러나 커다란 티브이로 만족했습니다 주차장도 여유가 있어서 주차하는데 큰 무리 없이 이용했습니다 깨끗하고 조용해서 푹 쉬었다가 퇴실한 거 같아요 요즘 날씨가 더워져서 에어컨 사용을 하게 되는데 성능도 좋아서 시원하게 이용했습니다 담에 재방문 의사 있네요,긍정,중립
다 좋은데 담배 냄새가 방으로 들어오는 게 안 좋네요,긍정,중립
트윈 침대 남자들이 사요 하기 작았지만 침대 푹신하고 좋았어요,중립,긍정
주차장은 널널하고 입실시간이 시부터라서 전주 와서 체크인하고 외출 동물원 분정도 걸리는듯하고 한옥마을도 분정도 걸리는듯합니다 주변상권은 모텔촌 층에 슬러시 팝콘 원두커피는 없고 믹스커피 녹차티백 몇개와 정수기 전자렌지만 있었구요 객실 가격대비는 최고입니다 침대린넨류는 교체는 하였으나 침구에 오염과 머리카락 변기는 왜 뚜껑이없는지는 몰겟구옹 드라이기와 고데기가 욕실 내부에잇어 습기가 맨첨 입실하자마자찍엇는데 욕조에는 물기가 전혀 제거되지않은 상태였고 물빨은 보통보다 조금 약하다고 보시면될듯합니다 침대는 딱딱한편 베게는 솜베개 다소 딱딱 모든게 가격대비 그래도 객실 청결은 괜찮은편이고 리모델링해서 깨끗한편입니다 또한 티비 크기 매우만족 넷플과 티빙 잘됩니다 방음은 문하나 사이두고 닫으니 생각보다 조용 문여니까 엘베앞이라서 엘베 소리가 거슬렷는데 문닫고 하니 그래도 갠찮은것같아요 이왕이면 예민하시다면 엘베에서 좀 멀리 가시는걸 추천해드립니다,중립,긍정
폼클렌징도 안 들어있고 뭘로 씻으라는 건지 아무것도 없네요 키트는 한 번 더 신경 써주셔야 할 듯 너무 그랬어요 충전기도 잘 달아놓으셔야 할 거 같음 충전기도 없어요 아무것도 러브 어 폼클렌징은 꼭 넣주세요,부정,중립
모기만 마리 잡았네요 대체 객실 관리를 어떻게 해야 모기가 마리나 있나요 수건도 개 더 구비되어 있었으면 해요 그래도 시설이나 스파는 좋았어요 청결에 조금 더 신경 쓴다면 더 좋았을 것 같아요,중립,긍정
택시 타고 가는데 설마 저기 저기 헐 이게 내 솔직한 심정 여기 어때에 있는 사진은 밤에 야간이라 괜찮아 보이지만 낮에 가면 연식 오래된 건물이 나옴 관광호텔 이 의미를 여기서 알게 됨 방은 넓은 편 다만 창문 열면 바로 도로 앞이고 오래된 가구들 화장실도 넓은 편이나 오래된 건물이라서 낡은 티가 남 화장실 변기가 작은데 비데를 껴놓아서 변기보다 튀어나온 그렇게 안 불편한데 변기도 자기 부분이 앉으면 닿음 그리고 방에 놔둔 디퓨저 냄새가 단 포도향이라서 더 싸구려처럼 느껴지던 샴푸 린스도 오렌지향 과일을 좋아하시는 듯 좋은 점은 조식은 빵 아니면 라면을 만들어주는데 간단히 먹기 좋음 다만 전주에 미식여행 오신 분들은 굳이 먹을 게 많은 뎁 가격 대비 좀 실망스러움,부정,중립
첫 이용입니다 객사 쪽 대실 자체가 처음인데 나쁘지 않았습니다 기본적인 어메니티는 제공되고 객실 청결 상태는 가격대를 감안해도 괜찮았습니다 특히 화장실은 기대 이상이었네요 조금 아쉬웠던 점은 전기장판이 없어 날씨에 따라 추울 수 있겠다는 것 스타일러가 고장 나있었다는 것입니다 그래도 근처 시가지 객사 한옥마을 등 접근성이 괜찮기에 가성비 숙소로 추천할만합니다 첫 이용입니다 객사 쪽 대실 자체가 처음인데 나쁘지 않았습니다 기본적인 어메니티는 제공되고 객실 청결 상태는 가격대를 감안해도 괜찮았습니다 특히 화장실은 기대 이상이었네요 조금 아쉬웠던 점은 전기장판이 없어 날씨에 따라 추울 수 있겠다는 것 스타일러가 고장 나있었다는 것입니다 그래도 근처 시가지 객사 한옥마을 등 접근성이 괜찮기에 가성비 숙소로 추천할만합니다,중립,부정
처음 방문했어요 급하게 찾던 중 발견한 곳 객실 업그레이드해 주신 거 같더라고요 들어가니 침대가 개방도 넓고 욕실도 엄청 넓더라고요 세면대 쪽에 턱이 있어서 잘못하면 다칠 수 있는 단점이 있지만 인식하고 다니면 되겠더라고요 침구 푹신하고 좋더라고요,중립,부정
깨끗하고 청결했습니다 다시 찾고 싶은 곳이네요 방음에 신경 좀 쓰면 될 거 같아요,중립,부정
건물은 조금 오래된듯했지만 가격도 저렴하고 이용에 불편한 건 전혀 없었습니다 내부는 깔끔한 편이였는데 찬물을 열면 밖이 훤히 보여서 창문을 열기엔 불편했어요,부정,중립
아주 편하게 쉬다 갑니다 침대 굿입니다 시설 깨끗하고 숙박 시간 착하고 주변 여러 모텔 중 잴 나은 듯,중립,긍정
일단 입실시간이 시라서 너무너무 좋았어요 밤새우고 입실하는 거라서 많이 피곤해서 일찍 들어갈 수 있는 곳으로 갔는데 방도 업그레이드해 주시고 너무너무 잘 쉬다 갑니다,긍정,중립
다른 건 다 좋았는데 화장실 수압이 좀 약했던 거랑 아침에 따뜻한 물 나오려면 좀 걸리더라고요 그리고 새벽엔 방 안이 좀 추웠어요 그래도 만족합니다,중립,부정
마리는 언제나 믿고 이용합니다,부정,중립
저렴한 가격에 이곳만큼 좋은 곳은 없는 거 같습니다 복도에 정수기도 있고 내부도 깔끔했습니다 침대커버와 베개 이불도 눅눅하지 않고 좋았습니다 그리고 스타일러도 있어 옷도 눅눅함을 없앨 수 있었습니다 또한 안쪽에 위치해 있어서 주변이 시끄럽지 않았고 편의점도 바로 앞에 있어 이용하기 편리했습니다 전주 출장 시 거리가 멀지 않는다면 계속해서 이용할 예정입니다,중립,긍정
생각보다 괜찮았어요 후회하지는 않을 듯,긍정,중립
전주에 잠깐 겨유하는 일정으로 하루 묵고 갑니다 침대에 전기장판이 깔려있기는 한데 창쪽으로부터 찬 공기가 스며드네요 겨울인데 조금 서늘한 느낌이었습니다,부정,중립
직원분들 친절해서 좋아요 감사합니다 침구는 푹신하고 좋아요 개별 난방이라서 따뜻하게 쉬다 갑니다 하지만 화장실에서 담배 냄새가 심해요 다른 호실에서 담배 피우는 냄새가 그대로 올라오는 거 같아요 입구에 흡연 금지라고 되어있는데 안 지키시는 분들이 있는가 보네요 화장실 샤워기 호수 교체해 주세요 까만 때 같은 게 많이 붙어있어요 세면대가 흔들거려서 불안한 것도 있네요 가성비는 좋아요 자주 이용할게요,중립,부정
전주 출장은 오랜만인데 여기 어때 보고 전주 브라운 도트 아중지구점 예약했는데 숙소가 역시 너무 깔끔하고 환기가 잘되어 있고 침구류 상태도 매우 양호하고 욕실도 잘 청소되어 있네요 그리고 금연이라 너무너무 쾌적하네요 또한 카운터 직원분도 너무 친절하시네요 역시 어느 지역을 다녀도 브라운 도트 닉네임 값을 하네요 혼자서 출장 왔는데 주변에 먹거리는 유흥가 및 모텔들이 군집된 곳이라 혼자서 먹을 수 있는 곳이 있어 다행이네요 잘 머물다가 갑니다 감사합니다,중립,긍정
가 대나 있어 아이들이 너무 좋아했어요,중립,부정
깔끔해요 그런데 담배 냄새가 조금나요,중립,부정
객실 컨디션 좋고 충전기도 방에 구비되어 있어서 좋았어요 화장실도 깨끗하고 잘 이용했습니다 다만 베개 놓여 있는 부분 시트 위에 뭔가 부스러기 같은 게 있어서 제가 털어서 누웠는데 좀 찝찝하더라고요 청소를 조금 신경 써주시면 좋을 것 같아요,중립,긍정
일단 숙소가 안쪽에 있어 조용하고 청결 상태도 딱히 문제가 될만한 점은 찾지 못했고요 리뷰들 본 것들 중 가장 많이 지적됐던 엘베 냄새가 걱정됐는데 이젠 그런 걱정 안 하셔도 될듯해요,부정,중립
후기가 매우 좋아서 이용하였는데 시설은 사진과 똑같지만 객실 상태는 벽에 구멍도 많고 샤워기 고정 불량에 먼지도 많고 넷플릭스 이용할 때가 다른 곳보다 연결에서 이용하는 부분이 많이 불편했던 것 같네요 다른 곳보다 가격이 높았으면 이용하지 않았을 것 같네요,부정,중립
가격 대비 시간도 충분하고 깔끔하고 좋습니다 근데 방음은 잘 안되는 것 같아요 복도 소리 옆방 소리 신경 쓰이는 정도였네요,중립,긍정
침구 상태 및 청결상태가 너무 좋았습니다,중립,긍정
출장이 많은 관계로 여러 모텔 이용해 봤는데 정말 가성비로는 전주 최고입니다 겉외관에 살짝 불안한 마음이 없지 않아 있었는데 내부 시설이나 청결 등 흠잡을게 없네요 정말 잘 쉬다 갑니다,중립,긍정
항상 저렴하게 잘 이용하고 있어요 시설도 너무 깨끗하고 안마의자에 앉아서 티브이 볼 때가 제일 좋네요 계속 여기만 이용할 거 같아요 항상 저렴하게 잘 이용하고 있어요 시설도 너무 깨끗하고 안마의자에 앉아서 티브이 볼 때가 제일 좋네요 계속 여기만 이용할 거 같아요,중립,긍정
일단 룸 컨디션 깨끗하고 너무 좋았고 도 원하는 거로 빌려와서 들을 수 있었고 만화도 보고 싶은 거 골라서 재밌게 봤어요 다음에도 또 올 수 있음 숙박하고 싶은 곳이었습니다 감사합니다,중립,긍정
북대 근처에 갈 때마다 이용하는 데 매번 좋아요 이날은 침대 이불에 이물질이 조금 묻어있어서 바로 교체를 부탁드렸더니 교체해 주셨고 고데기가 고장 나 있어서 그 부분은 조금 아쉬웠습니다 매번 잘 이용하고 있는 만큼 조금씩만 더 신경 써주시면 더할 나위 없이 좋을 것 같아요,부정,중립
새벽에 들려 잘 이용했습니다 입실시간이 새벽이라고 해서 그 시간부터 시간을 주는 게 아닌 퇴실 시간은 정해져있으니 늦게 들어가실 분들은 참고하면 좋을 거 같아요,부정,중립
전체적으로 나쁘지 않았습니다 새 학기 특별 이벤트로 예약해서 모주 병 받았습니다 덕분에 모주 따로 사지 않아도 돼서 감사합니다 한옥마을까지 걷기엔 좀 먼듯해서 시내버스 정거장 정도 탔어요 침구류 깨끗하고 푹신하고 호텔 특유의 침구류 냄새가 덜 나서 좋았어요 특이하게 싱크대가 있더라고요 주차장 입구 출구 주차 간격이 넓지는 않아요 끝에 방이어서 방음 크게 신경 안 썼는데 중간 방이나 엘리베이터 근처는 시끄러울듯해요 복도 조명이랑 방 조명이 어두워요 천장에 히터가 침대 방향이라 너무 건조해서 껐는데 자면서 추웠어요 천장 히터에 가림막 설치 등 해야 할듯싶습니다 그래도 박 잘 쉬다 왔습니다,부정,중립
전체적으로 깔끔했어요 올라온 사진과 동일합니다 티브이도 크고 화장실도 넓어요 엘리베이터 있어서 다니기 편해요 객실에 큰 창이 있어서 답답하지 않고 침대에 전기장판 있어서 따뜻하게 머물다 갑니다 아 비치된 물 브랜드가 맛있어서 더 좋았어요 웅진 다음에 전주 오면 또 이용하고 싶습니다,중립,긍정
물 잘 나오고 금방 따뜻한 물 나와요 침대 편해요 방바닥 따뜻해요 주차공간 넓어요 체크인 아웃 빠르고 편리해요 엘베에서 내리면 담배 냄새가 나요 객실에서도 좀 나요 담배 냄새가 좀 나는 거 빼고 다 만족합니다,중립,긍정
늘 이용합니다 방은 만족 조식은 가성비 떨어지네요 해장국 드세요,중립,긍정
깔끔하게 잘 정돈된 숙소였습니다 안마기에 에어 드레서까지 있어서 겉옷을 에어 드레서에 넣고 미세먼지 관리 버튼을 누르고 나서 안마기를 이묭하면서 티브이를 보니 딱 좋은 휴일의 여유를 만끽할 수 있었어요 여러 가지로 맘에 드는 숙소라서 담에 또 방문할 예정입니다,중립,긍정
서비스 청결도 뭐 다 무난하게 좋았어요 대실 시간이 긴 편에 속하는 모텔이라 그 점이 좋아요 티브이 크고 잘 작동하고 피시도 게임 잘 돌아가네요 일회용품 제공 잘 되고 냉장고에 물도 충분했어요,중립,긍정
깨끗하고 주차장도 넓어요 아이스크림도 무료 객실에 냉장고가 없으니 주의하세요 객실 카드에 호실이 안 적혀있는 건 불편해요,중립,긍정
여자친구 전주 살아서 갈 때마다 여기 들름 굳,긍정,중립
그냥 그냥 그렇습니다 날파리가 많고 바닥이 청결하지는 않네요 그래도 저렴하게 잘 잤어요,중립,긍정
