accommodation,긍정,부정,total,긍정_ratio,부정_ratio,중립,중립_ratio,긍정_예시,부정_예시,중립_예시
전주 아늑료칸호텔 전주점,23,4,27,85.2,14.8,0,0.0,"['비가 오는 전주 여행이라 도보여행으로 예약해서 문의하니 자체적인 주차장 이외에 코너만 돌면 유료주차장으로 안내를 해주셨습니다 차량번호 알려드리고 이용객은 무료로 이용 가능한 넓은 주차장이 있다는 게 큰 장점이었어요 들어가자마자 스타일러가 있어서 너무 좋았고 무엇보다 침대 배게 다른 종류 가지는 정말 세심하다고 느꼈습니다 욕조 앞 빔 프로젝터로 분위기도 좋아지고 아늑해서 방 이름 그대로 화기애애한 것 같습니다 조금 아쉬운 점은 화장실 하수구에서 점점 냄새가 올라와서 아침에도 지속되었다는 점 제외하면 너무 완벽한 숙소였습니다', '사우나 호 예약했어요 퇴실도 전에 리뷰를 남기네요 마이산 가는 겸 전주 다시 와볼 겸 겸사 겸사해서 급 검색하고 예약해서 와 본 숙소네요 첫인상은 일단 깔끔 정갈한 느낌이라 좋았습니다 주차장 넓고 깔끔하게 보유중이더라구요 어메니티는 별도로 원에 판매중이에요 객실 내부 들어서면 좋은 맘이 편해지는 은은한 향이 나서 더 좋았어요 객실 전체 금연이고 이용하는 분들은 다른 분들 위해서도 지켜주시는 게 좋겠죠 도착해서 지쳐서 침대에 누웠는데 베개가 메모리폼 경추 베개라니요신선하고 사장님 센스 보통 아니시다 싶었어요 다앙한 숙소를 접해봤지만 샤워기에 대한 아쉬움 수압에 대한 아쉬움이 있었는데 여긴 수압도 좋고 샤워기 너무 야무지고 튼튼해서 맘에 들더라구요 건식 사우나도 신박하면서 가볍게 즐기기 좋았습니다 겨울에는 더 괜찮을 거 같더라구요 샴푸 린스 바디워시 토너 로션은 비치되어 있었어요 내부가 아담한데 좌식 테이블이 준비되어 있는 센스도 좋았어요 리뷰 적으려고 이리저리 보다가 월에 오픈한 신상 숙소인 것도 지금 알았어요 결론 생각보다 만족스러워요 사우나 내부 화로 부분도 한번씩 청결을 위해 신경써주시면 좋겠다 정도 이구요 숙소 머물면서 사장님의 센스와 야무짐을 느꼈습니다 다른 이용하시는 분들도 매너 있게 잘 이용하길 바라며 오래도록 좋은 컨디션 유지하는 전주의 숙소가 되길 바라는 맘으로 리뷰적어봐요 담에 전주오면 예약하고 싶어지는 숙소가 생겨서 좋아요']","['료칸에서 힐링 제대로 하고 갑니다 일단 객실이 보통 모텔은 바닥이 찝찝해서 슬리퍼를 신고 돌아다니고 뭔가 외부 바닥 같아서 편한 느낌이 덜한데 여긴 아주 뽀송하고 부드러운 장판에 적정온도를 맞춰 놓으셔서 진짜 집 같은 편안함이 있어요 그리고 침대에도 신경을 많이 쓰신 것 같은 게 베개가 약간 딱딱한 목을 받쳐주는 그런 종류가 있고 또 부드러운 베개도 있어서 원하는 베개로 이용하면 되는 게 너무 센스 있는 부분이었던 것 같아요 잠도 완전 꿀잠 잤어요 진짜 침구류 좋은 거 쓰시는 듯 오설록 차도 녹차 진짜 맛있던데요 찻잔에 담아 호로록 마시니 피로가 싹 풀리는 느낌 아주 약간 아쉬운 점이라면 수건에서 나는 락스 냄새 정도 그래도 막 뻣뻣한 재질은 아니라 괜찮았어요 밖의 소음도 차단이 잘 안되긴 합니다', '방이 정말 일본에 온 것 같은 기분이 들게 했습니다 가본 적은 없지만요 다른 모텔보다 침대 정말 아주 마음에 들었습니다 너무 편안하고 베개도 어떤 베게인지는 모르지만 다른 곳과 다르고요 서비스도 아주 친절하셨고요 또 지하에는 따러 금액을 내서 스파를 즐길 수도 있더군요 가장 중요한 방음도 아주 좋았습니다 다만 조금 아쉬운 건 먼지들이 조금씩 날아다닌다는 점이 아쉬웠습니다 그 외에는 굳입니다']",
전주 아늑호텔,883,80,963,91.7,8.3,0,0.0,"['업무상 전국적으로 출장을 많이 다니 편이라서 잠자리를 매우 중요시 여기는 편입니다 이번에는 영천에 출장이 잡혀 주변 숙박을 검색했는데 맘에 드는 곳이 없어 여기로 예약을 했네요 가성비 최고입니다 우선 주차장 넘어서 주차에 어려움 없었고요 사장님 매우 친절하십니다 간단한 조식도 있어 먹을 수 있고요 내부 시설도 매우 청결하고 만족했습니다 무엇보다 티브이 크기도 적당하고 넷플릭스는 못 봤네요 미리 공지 부탁드립니다 그래도 근처 출장 있을 시 계속 방문할 듯합니다 같이 간 직원들도 괜찮다고 하네요', '어기어 때 리뷰 객실 넓고 깨끗하고 조용합니다 주차장 넓고 주변에 주차 가능합니다 방 춥지 않고 따뜻합니다 출장 와서 이용했는데 다음에도 이용하면 좋을 것 같습니다 가격 대비 시설 좋고 나름 저렴한 가격이라 가성비 좋습니다 티브이나 헤어드라이 등등 가전제품도 문제없이 다 잘됩니다 기본적인 어메니티 잘 구비되어 있고 수건도 충분합니다 침구류나 다른 물건도 깨끗합니다 주변에 조금 나가면 식당이나 편의점 있어서 식사하기도 불편하지 않습니다 여행이나 출장에 이용하면 좋을 것 같습니다 추천합니다']","['개성이 매우 강한 인테리어와 젊은 감각이 높은 디자인에 건물 형태로 구성되어 있어 눈으로 즐기는 재미가 있는 숙박시설입니다 층 로비에 다양한 놀 거리가 있는 거 같은데 인 숙박이라 사용은 못 했지만 커플 친구 파티 등에 목적으로 숙박하는 경우 즐거운 시간을 보낼 수 있는 장점이 있습니다 시설도 깨끗하게 유지되고 있고 본 건물에 주차가 부족하나 건물 앞에 주차공간이 있어 특별히 주차 문제는 없습니다 만약 주차 공간이 부족하다면 주변에 무료 공용 주차장이 있어 사용하시면 됩니다 호텔과 유사하게 운영되고 있고 안전 관련 용품들도 매우 우수하게 준비되어 있어 신용도에 매우 높은 점수를 드립니다 혹시 커플 또는 파티 등을 원하시면 강력하게 추천드립니다', '전반적으로 객실 상태와 화장실이 깨끗하고 넷플릭스 유튜브 등 종을 대형으로 볼 수 있어요 전반적으로 객실 상태와 화장실이 깨끗하고 넷플릭스 유튜브 등 종을 대형으로 볼 수 있어요 전반적으로 객실 상태와 화장실이 깨끗하고 넷플릭스 유튜브 등 종을 대형으로 볼 수 있어요 전반적으로 객실 상태와 화장실이 깨끗하고 넷플릭스 유튜브 등 종을 대형으로 볼 수 있어요 전반적으로 객실 상태와 화장실이 깨끗하고 넷플릭스 유튜브 등 종을 대형으로 볼 수 있어요']",
전주 에이치에비뉴,716,73,789,90.7,9.3,0,0.0,"['그곳엔 조용한 아침과 푹신한 밤이 있었다 전주 에이치에비뉴 호텔 낯선 도시에 도착해 가장 먼저 찾게 되는 건 생각보다 멋진 맛집도 유명한 관광지도 아니다 묵을 곳이다 오늘 하루 내가 쉴 수 있는 공간은 어떨까 그 질문 하나에 마음이 오락가락할 때 전주 에이치에비뉴 호텔은 조용히 문을 열고 나를 맞아주었다 로비는 언제나처럼 소란스럽지 않았다 간결한 톤과 따뜻한 조명 마치 오래된 책 표지처럼 안정감 있는 분위기 엘리베이터를 타고 객실로 향하는 동안 이 도시와 나 사이의 어색함이 조금씩 사라져갔다 방 안 이불 속 그리고 아무 말도 없는 위로 문을 열자마자 느껴진 건 정돈된 공기 적당한 온도 무겁지 않은 향기 그리고 눈길을 끈 건 폭신하고 도톰한 침구였다 마치 포옹하듯 몸을 감싸는 이불은 긴 하루를 마친 여행자에게 아무 말 없이 괜찮아 쉬어라고 속삭이는 것 같았다 그날 밤 불을 끄고 누운 침대 위에서 이 도시의 소음은 희미해졌고 내 마음도 덩달아 가라앉았다 걷는 시간마저 특별해지는 산책로 다음 날 아침 햇살이 커튼 사이로 조심스럽게 스며드는 걸 느끼고 자연스레 운동화를 꺼내 들었다 그 길은 생각보다 훨씬 조용했고 아침의 공기는 맑았으며 걷는 내내 이상하게 마음이 맑아졌다 무언가를 목적지로 삼기보다 그저 걸으려고 걸은 시간 그게 그렇게 소중하게 느껴질 줄 몰랐다 한줄 정리 전주의 조용한 감성을 꼭 닮은 호텔 에이치에비뉴에서 쉼을 배웠다 이곳을 다시 찾고 싶은 이유들 이불 속에 파묻히는 그 순간의 포근함 낯선 도시의 아침을 열어준 산책로 정갈하고 조용한 객실 관광객보다 여행자에게 어울리는 공간 말 많은 여행보다 말 없는 하루가 필요할 때 전주 에이치에비뉴 같은 곳이 있다는 건 참 다행이다 가끔은 그냥 푹 자고 조용히 걷는 여행이 더 오래 기억에 남는다', '방은 아늑하고 창이 크게 있어서 답답하지 않고 방 안에서 담배 냄새나 특유의 냄새가 안 나고 청결하고 깔끔해요 침대 컨디션이 정말 좋아요 적당히 쿠션이 있어서 잠도 잘 잤어요 침구류도 깔끔하고 깨끗해서 기분 좋게 잤네요 쿠션 좋은 침대에 넷플 디즈니 등등 가 다 나와서 화면 큰 티브이로 보고 싶었던 드라마 정주행해서 다 봤어요 욕실도 크고 수압도 적당해서 샤워할 때 기분 좋게 사용할 수 있어요 거기에 드라이기와 고데기까지 있어서 머리 손질이 용이하네요 제일 맘에 드는 게 스낵바가 있어서 밤에 야식으로 라면이랑 토스트 등도 먹을 수 있고 근처에 편의점도 있어서 편리해요 배달도 잘 오고 조금만 나가면 식당 술집들도 많고 근거리에 한옥마을 전주역 등이 있어서 이동이나 볼거리도 많네요']","['장점 아이가 있다면 강추층 침대 로망을 실현시켜줄 기회 엄청 좋아함 침대도 꽤 넓고 전기장판 다 깔림 전반적으로 청결 라면 맛집 온돌방만큼 아주 따뜻 화장실도 청결 남부시장 야시장까지 분 정도에 도착 단점 최대인이라 비싼 편단 방 조절 불가한 듯 메인방은 더워서 에어컨 켜고 점층 침대 쪽은 외풍으로 등은 따시고 공기는 참 모텔 개조한 곳이라 소음에 취약 새벽까지 위층 소음의 자와 테이블이 있어 음식 먹기 편리 아이는 여행 중 가장 좋았던 것으로 층 침대 틀 꼽았으니 만족합니다', '몇 주 내내 너무 추웠는데 바닥이 후끈후끈 너무 편안하고 따뜻하게 잘 잤어요 주차장이 넓지만 쓰인 체크인 시간보다 늦게 체크인하면 자리가 없을 수도 있다는 점과 침대 맛집이지만 방문할 때마다 이불이 얼룩 덜 룩 했다는 점 수건에 세월의 흔적이 많아서 예민한 사람은 개인용 수건을 챙겨야 할 것 같은 아쉬운 점도 있었습니다 몇 주 내내 너무 추웠는데 바닥이 후끈후끈 너무 편안하고 따뜻하게 잘 잤어요 주차장이 넓지만 쓰인 체크인 시간보다 늦게 체크인하면 자리가 없을 수도 있다는 점과 침대 맛집이지만 방문할 때마다 이불이 얼룩 덜 룩 했다는 점 수건에 세월의 흔적이 많아서 예민한 사람은 개인용 수건을 챙겨야 할 것 같은 아쉬운 점도 있었습니다']",
전주 에이치에비뉴 덕진점,127,17,144,88.2,11.8,0,0.0,"['주변 여러 곳 중 비교해 보고 예약했습니다 청소상태 양호함 먼지 없음 인테리어 깔끔한 편 방이 넓어서 좋음 침구류 침대 베개 모두 아주 깨끗하네요 주차공간 주차장이 넓어서 무난합니다 주변 먹거리 차 타고 조금 나가면 유명한 콩나물국밥집 있어서 맛있게 먹고 왔어요 조식 조식도 있어요 안 먹어봤지만 직원 친절합니다 방음 주변 소음 조용하고 편안합니다 기타 스타일러도 있고 앞에 공원 있어서 좋습니다 전체적으로 아주 만족합니다', '출장으로 지친 몸과 마음을 충분히 녹일 수 있었던 정말 만족스러운 숙소였습니다 조용하고 쾌적한 환경 덕분에 편하게 쉴 수 있었고 화장실도 매우 깨끗해서 사용하면서 기분이 좋았습니다 침대도 푹신하고 포근해서 피로가 싹 풀리는 느낌이었어요 바닥 역시 먼지 하나 없이 깔끔하게 관리되어 있어 위생적으로도 안심이 되었습니다 무엇보다 직원분들이 친절하게 응대해 주셔서 전반적인 인상이 더욱 좋았어요 다음에 이 근처에 다시 올 일이 있다면 꼭 다시 방문하겠습니다 감사합니다']","['전주 출장 방문해서 주변 여러 곳 중 비교해 보고 예약했습니다 청소상태 양호함 먼지 없음 인테리어 깔끔한 편 방이 넓어서 좋음 침구류 침대 베개 모두 아주 깨끗하네요 주차공간 지상 주차장이고 무난합니다 주변 먹거리 주변 분 정도 나가면 식당 좀 있으면 많지 않음 조식 유료 있음 직원 친절합니다 방음 주변 소음 무난합니다 기타 욕조도 깨끗하고 전체적으로 만족합니다 요즘 화재 이슈로 완강기 설치 상태도 확인했네요 전체적으로 아주 만족합니다', '주변 여러 곳 중 비교해 보고 예약했습니다 청소상태 양호함 먼지 없음 인테리어 깔끔한 편 방이 넓어서 좋음 침구류 침대 베개 모두 아주 깨끗하네요 시몬스침대 주차공간 지상 주차장이고 무난합니다 주변 먹거리 바로 근처는 아니고 걸어서 분 정도 나가면 맛집 많은듯해요 조식 용 안 함 직원 친절합니다 방음 주변 소음 무난합니다 기타 욕조도 깨끗하고 전체적으로 만족합니다 요즘 화재 이슈로 완강기 설치 상태도 확인했네요 전체적으로 아주 만족합니다']",
전주 와이케이,1031,182,1213,85.0,15.0,0,0.0,"['가장 좋았던 점은 주변에 맛집이 무척 많았다는 것입니다 입실 전과 퇴실 후에 먹을 수 있는 게 많았고 배달까지 완벽한 곳이었습니다 침실이나 침구 위상상태도 좋았고 욕실 물기도 없이 깔끔했습니다 얼룩이나 머리카락도 눈에 띄지 않았고 담배 냄새도 딱 헤 나지 않았던 것 같습니다 공원과도 가까워서 저녁에 밥 먹고 산책하기도 좋았고 수건에서도 찝찝한 냄새가 나지 않아서 좋았습니다 실내 온도도 따뜻하고 침구류 상태도 상당히 괜찮아 오요 종합적으로 매우 만족햤으면 이 근처에 갈 일이 있으면 재이용할 생각입니다', '너무너무 좋아요 사장님도 친절하시고 금연 룸이 아예 따로 있어서 좋았습니다 전주에서는 여기만 갑니다 터미널 근처는 일반 대실이 시간도 많은데 여긴 최소 시간입니다 전북대에 위치해있어 먹을 거도 뮤지 많습니다 무조건 여기만 갈 거에 용 너무너무 좋아요 사장님도 친절하시고 금연 룸이 아예 따로 있어서 좋았습니다 전주에서는 여기만 갑니다 터미널 근처는 일반 대실이 시간도 많은데 여긴 최소 시간입니다 전북대에 위치해있어 먹을 거도 뮤지 많습니다 무조건 여기만 갈 거에 용']","['건물 내 지하주차장이 있어서 주차하기에 편하고 전북대 상권에 숙소가 위치해 있어서 배달 주문이나 근처 가게에서 포장 혹은 나가서 먹고 들어와도 된다는 게 큰 장점입니다 숙소 컨디션도 무난하게 좋은 편이며 금연 룸이 아니었어도 방에서 담배 냄새가 나진 않았어요 그리고 저녁에도 바깥에서 시끄러운 소리가 들러서 불편하지도 않았습니다 수압도 괜찮고 따뜻한 물도 잘 나오고 수건도 넉넉해서 좋았습니다 로비에 나무젓가락 사탕 미니 약과 등도 구비되어 있어서 정말 편리했습니다', '건물 내 지하주차장이 있어서 주차하기에 편하고 전북대 상 권에 숙소가 위치해 있어서 배달 주문이나 근처 가게에서 포 장 혹은 나가서 먹고 들어와도 된다는 게 큰 장점입니다 숙소 컨디션도 무난하게 좋은 편이며 금연 룸이 아니었어도 방에서 담배 냄새가 나진 않았어요 그리고 저녁에도 바깥에서 시끄러운 소리가 들러서 불편하지 도 않았습니다 수압도 괜찮고 따뜻한 물도 잘 나오고 수건도 넉넉해서 좋았습니다 로비에 나무젓가락 사탕 미니 약과 등도 구비되어 있어서 정 말 편리했습니다']",
전주 윈져,1218,458,1676,72.7,27.3,0,0.0,"['항상 친절하시고 잘 이용하고 있어요', '요새 어디 가서 만 원에 방 잡긴 힘들겠죠 원래 체크인 시간보다 시간 일찍 도착했는데 추가금 없이 들여보내주셨어요 시설은 그렇게 좋지도 나쁘지도 않아요 하룻밤 놀러 오셔서 주무시는 데는 정말 가성비 최고입니다']","['음 위생 엉망 주차공간 부족 방음 안됨 여기까지', '저렴하고 굉장히 깔끔했고 에어컨이 낡아 보여서 덥진 않을까 생각했지만 시원했음 컴퓨터도 은근히 사양이 좋았고 티브이도 커서 만족했다 다만 와이파이가 좀 느려서 아쉬웠음']",
전주 이둔호텔,466,129,595,78.3,21.7,0,0.0,"['저번에 방문했었을 때 괜찮아서 재방문했어요 혁신도시 맛 집들이 근처에 위치해 있어서 도보로 이동이 가능하고요 야외주차장과 건물 주차장이 따로 마련이 되어 있어서 널찍했어요 호텔 로비에서 출차 카드를 챙겨야 하는 시스템입니다 층에는 무료 안마의 자존이 있는데 가볍게 몸 풀고 가기 좋아 보였고요 수압도 좋고 따뜻한 물도 잘 나왔어요 가운은 따로 요청하니까 갖다주시더라고요 에어컨 공기청정기 스타일러까지 구비되어 있고 간단하지만 알찼던 조식까지 제공이 되니 전주 출장 호텔 비즈니스호텔로도 추천하는 곳입니다', '전주 출장이나 전라도 가족 여행 시 중간 지역으로 매우 좋은 전주 이번에도 광주 여행 이전에 방문지로 매우 만족해요 깔끔하고 주변 맛집 멋집만 많은 역이네요 편 야한 주차 침구류 만족스러워요 주기적 출장 가는데 정말 최고 좋은 지역의 숙소에요 조식도 깔끔 허니 맛나요 인이라는 투 베드도 만족해요 주변 먹거리도 많아서 출장이나 전라도 가족여행은 무조건 이공 이둔입니다 늦은 시간까지 주변 술집 밥집이 열어서 시끄너울까 걱정했지 마 그런 거 없이 무나 하게 잘 잤어요 담에 또 올게요 감삿유']","['한 줄 평 가격은 합리적이지만 시설 면에서는 아쉬움이 남는 숙소 호에 숙박했으며 금요일 밤 기준 원이면 비교적 합리적인 가격이라고 생각했습니다 샴푸와 린스는 공용으로 비치되어 있었지만 로션 칫솔 면도기 등 기타 어메니티는 별도로 구매해야 했습니다 특히 칫솔은 개별 포장된 제품으로 한 개당 원에 판매되어 두 명이 이용하기 위해 어쩔 수 없이 두 개를 구입해야 했습니다 객실 내에는 스타일러와 안마의자가 갖춰져 있었고 전반적으로 깔끔한 인상이었습니다 다만 화장실 타일 일부가 떨어져 테이프로 임시 고정된 상태였고 자는 동안 테이프가 떨어지는 소리가 들려 숙면을 방해받았습니다 번화가에 위치한 탓에 외부 소음과 밝은 조명은 어느 정도 예상했지만 객실 내부의 입실 등이 고장 났는지 일정 간격으로 켜졌다 꺼지는 문제가 있어 숙면에 더욱 방해가 됐습니다 전반적으로 가격 대비 나쁘지 않은 선택일 수 있으나 세심한 시설 관리가 필요한 숙소였습니다', '전주의 준 호텔급은 이름처럼 거의 호텔 수준의 시설과 서비스를 제공합니다 객실은 깔끔하고 안락하며 전반적으로 만족스러운 숙박 경험을 선사합니다 다만 몇 가지 개선이 필요한 점들이 눈에 띄었습니다 샤워기의 각도를 조정할 수 없어 사용이 불편했고 화장실 조명이 어두워 아쉬움이 남았습니다 세면대에서는 물이 사방으로 튀는 불편함이 있었고 헤어스프레이는 사용 기한이 지난 것으로 보여 위생적인 관리가 필요했습니다 창문이 얇아 외부 소음이 들리긴 했지만 커튼을 치면 어느 정도 해결되었습니다 전반적으로 높은 수준의 숙소로 세심한 관리와 개선이 이루어진다면 더 많은 만족을 줄 것으로 기대됩니다']",
전주 이야기펜션,63,3,66,95.5,4.5,0,0.0,"['사장님도 친절하고 시설도 깨끗해서 좋았어요 동 뒤편으로 기차 지나가요 거슬릴 정도는 아니었어요', '청결하고 좋았습니다 아늑하고 잘 쉬다 갑니다']","['흠잡을게 도 없습니다 기차소리 거슬릴 정도도 아닙니다 칙칙폭폭 소리 아니고요 슈슈슉슉 하고 지나갑니다 냉장고 물때 티끌성에 전혀 없어요 욕실 수전 욕실 거울 욕실 슬리퍼 등등 물때 전혀 없어요 수건 이상한 냄새 안 나고 이불도 냄새 안 나요 바비큐 숯 피워주시는데 부족하면 쓰라고 봉지 통째로 두고 가셨어요 업체 사진을 보다 보면 이게 진짜일까 사진발 아닐까 의심하는 편인데 제가 본 그대로 사진 찍어 올립니다 마구 칭찬해드리고 싶습니다', '층으로 구성돼있고 층에 티브이 부엌 화장실 침대가 있는 방이 있어요 간장 참기름 고춧가루 소금 등이 기본으로 있었고 여러 가지 프라이팬이나 냄비 그리고 소주잔과 컵 접시 수저 집게 가위 등 여러 가지가 구비돼있고 전자레인지는 선반 밑에 있었어요 티브이 옆 리빙박스에 드라이기랑 수건이 있고 화장실은 넓고 쾌적했어요 따뜻한 물도 잘 나왔어요 층 방에는 화장대 거울 옷걸이 책이 있고 이불이랑 베개가 푹신해서 너무 좋았어요 책도 제가 좋아하는 장르여서 너무 좋았어요 층은 침대는 없고 매트리스랑 이불 베개가 있고 층 합해서 베개는 총 개고 이불은 장입니다 추가로 이불을 더 쓰고 싶으면 돈을 더 지불해야 되고 칫솔을 원에 구매할 수 있어요 바비큐도 아늑한 공간 안에서 먹을 수 있어서 많이 춥지는 않았고 화력도 좋았어요 가구 소품에 신경을 많이 쓰신 게 느껴졌고 저 포함해서 친구들이 여기서 살고 싶다는 말을 많이 했어요 다음에 전주에 놀러 올 일이 있으면 무조건 다시 올 것 같아요']",
전주 이츠호텔,215,25,240,89.6,10.4,0,0.0,"['여행 중 하루 묵었던 모텔인데 기대 이상으로 깔끔하고 만족스러웠어요 방도 넓고 정돈이 잘 되어 있었고 침구나 욕실 상태도 청결해서 기분 좋게 머물 수 있었습니다 에어컨 와이파이 등 기본 시설도 잘 갖춰져 있었고 냉장고나 드라이기까지 준비되어 있어 편리했어요 직원분도 친절하게 응대해 주셔서 체크인부터 기분 좋게 시작했고 위치도 좋아서 주변 이동이 편리했어요 부담 없이 하루 이틀 쉬기 좋은 곳으로 추천합니다 조용하고 쾌적한 분위기라 혼자 여행하는 분들께도 잘 맞을 것 같아요 주차 공간도 충분해서 차량 이용 시에도 불편함이 없었고 근처에 편의점이나 식당도 가까워서 좋았어요 전체적으로 가격 대비 만족도 높은 숙소였습니다', '전체적으로 만족스러운 모텔 숙소였습니다 객실은 넓고 쾌적했으며 청소 상태도 깔끔하게 유지되어 있어 편안하게 쉴 수 있었어요 침대와 침구도 푹신하고 깨끗해서 숙면을 취하기 좋았고 와이파이 등 기본 시설도 잘 갖춰져 있었습니다 욕실 역시 물 수압도 좋고 따뜻한 물도 잘 나와서 샤워하기에 불편함이 없었어요 위치도 중심가와 가까워서 대중교통 이용이나 주변 음식점 편의점 이용도 편리했습니다 가격 대비 만족도가 높아 재방문 의사 있어요 이 근처 숙소 이용객분들에게 추천드립니다']","['전화로 문의할 때부터 사장님 친절하신 거 알았고요 연 박이라 청소 안 해주셔도 된다 하고 늦잠 푹 자고 느긋하게 외출했는데 돌아오니 청소 싹해 주시고 수건도 다시 채워주셨더라고요 감사합니다 룸은 프리미엄 했는데 다른 숙소에 비해서 방이 좀 작았어요 솔직히 안마의자랑 욕조 땜에 예약한 건데 안마의자도 제가 생각했던 브랜드는 아니었고 욕실은 수건걸이가 덜렁거렸고 욕조 엄청 작아요 입욕하려고 준비해서 간 건데 생각보다 작아서 안 했습니다 리모컨 리모컨으로 조명 불가능 그리고 꾹 누르지 않으면 작동 안 함 주변 편의시설 많아서 좋았고 만약 고기 드시러 외출하실 거면 대장간 추천드려요', '숙박해 보고 만족하여 이번엔 대실 이용했습니다 몇 가지 아쉬웠던 점은 입실시간에 맞춰 왔는데 로비 층은 불이 다 꺼져있고 불러도 안 나오시길래 닫은 줄 알았어요 키 받고 입실하려는데 열 필요 없이 이미 객실 문이 활짝 열려있었답니다 여름철 벌레가 들어갈까 봐 걱정되었고 문을 계속 열어놔서인지 내부가 많이 더웠답니다 숙박해 보고 만족하여 이번엔 대실 이용했습니다 몇 가지 아쉬웠던 점은 입실시간에 맞춰 왔는데 로비 층은 불이 다 꺼져있고 불러도 안 나오시길래 닫은 줄 알았어요 키 받고 입실하려는데 열 필요 없이 이미 객실 문이 활짝 열려있었답니다 여름철 벌레가 들어갈까 봐 걱정되었고 문을 계속 열어놔서인지 내부가 많이 더웠답니다']",
