name,category,rating_score,rating_count,address,source,image,lat,lng
전주 비지니스 호텔 궁,모텔,9.2,774,전북특별자치도 전주시 덕진구 용산1길 17-4,y,전주 비지니스 호텔 궁.jpg,35.8350253,127.1314096
글로스터호텔 전주,호텔비즈니스,9.1,948,전북특별자치도 전주시 완산구 팔달로 227,y,글로스터호텔 전주.jpg,35.8223482,127.1449563
신라스테이 전주 한옥마을,호텔비즈니스,9.4,372,전북특별자치도 전주시 완산구 현무1길 10,y,신라스테이 전주 한옥마을.jpg,35.8196908,127.1485428
전주 투썸스테이중화산점,모텔,9.6,709,전북특별자치도 전주시 완산구 어은로 12-4,y,전주 투썸스테이중화산점.jpg,35.8163907,127.1241473
전주 MH HOTEL 중화산동점,모텔,9.7,1324,전북특별자치도 전주시 완산구 어은로 12-6,y,전주 MH HOTEL 중화산동점.jpg,35.8161297,127.1241559
전주 MH HOTEL 객리단길점,모텔,9.2,1734,전북특별자치도 전주시 완산구 전주천동로 232,y,전주 MH HOTEL 객리단길점.jpg,35.8171608,127.1395521
전주 투썸스테이서신점,모텔,9.7,984,전북특별자치도 전주시 완산구 여울로 31,y,전주 투썸스테이서신점.jpg,35.8359971,127.1200342
전주 브라운도트 덕진점,모텔,9.2,1500,전북특별자치도 전주시 덕진구 기린대로 534,y,전주 브라운도트 덕진점.jpg,35.8460907,127.1210444
전주 노이 호텔,모텔,9.3,2140,전북특별자치도 전주시 덕진구 아중4길 21,y,전주 노이 호텔.jpg,35.8300402,127.1729791
라한호텔 전주,호텔4성급,9.4,1397,전북특별자치도 전주시 완산구 기린대로 85,y,라한호텔 전주.jpg,35.817109,127.1541068
전주 마리 덕진공원점,모텔,9.4,2194,전북특별자치도 전주시 덕진구 덕진연못3길 9-5,y,전주 마리 덕진공원점.jpg,35.8472043,127.1199323
전주 시그니처 호텔,호텔비즈니스,9.3,529,전북특별자치도 전주시 덕진구 백제대로 838,y,전주 시그니처 호텔.jpg,35.843409,127.1395351
전주 아늑료칸호텔 전주점,모텔,9.8,114,전북특별자치도 전주시 덕진구 용산2길 17,y,전주 아늑료칸호텔 전주점.jpg,35.8355082,127.1320696
전주 더케이,모텔,9.2,1554,전북특별자치도 전주시 완산구 한두평1길 10,y,전주 더케이.jpg,35.8123865,127.1240179
전주 호텔박스한옥마을 아중리점,모텔,9.3,1661,전북특별자치도 전주시 덕진구 아중4길 20-5,y,전주 호텔박스한옥마을 아중리점.jpg,35.8308616,127.1727605
전주 호텔아지트 신시가지점,모텔,9.6,760,전북특별자치도 전주시 완산구 홍산북로 46-11,y,전주 호텔아지트 신시가지점.jpg,35.8170692,127.1075208
전주 호텔모아,모텔,9.5,193,전북특별자치도 전주시 완산구 홍산북로 80,y,전주 호텔모아.jpg,35.8172913,127.1104681
전주 브라운도트 아중지구점,모텔,9.6,409,전북특별자치도 전주시 덕진구 아중중앙로 30,y,전주 브라운도트 아중지구점.jpg,35.8308778,127.171979
전주 호텔레이나구 전주 소풍,모텔,9.4,949,전북특별자치도 전주시 덕진구 산정3길 6,y,전주 호텔레이나구 전주 소풍.jpg,35.8373334,127.1707917
전주 Q큐,모텔,9.4,4403,전북특별자치도 전주시 완산구 한두평1길 12,y,전주 Q큐.jpg,35.8123141,127.1242604
전주 하운드호텔 전주아중지구,모텔,9.6,242,전북특별자치도 전주시 덕진구 산정2길 20,y,전주 하운드호텔 전주아중지구.jpg,35.8381375,127.168909
전주 YAJA전주한옥마을점,모텔,8.5,716,전북특별자치도 전주시 완산구 전주객사5길 64-4,y,전주 YAJA전주한옥마을점.jpg,35.8208666,127.1453295
전주 호텔 써밋스테이,모텔,9.7,432,전북특별자치도 전주시 덕진구 산정3길 2,y,전주 호텔 써밋스테이.jpg,35.8372357,127.1708798
베스트웨스턴 플러스 전주 호텔,호텔특급,9.3,1410,전북특별자치도 전주시 완산구 현무1길 41,y,베스트웨스턴 플러스 전주 호텔.jpg,35.8224402,127.1470122
전주 아늑호텔,모텔,9.8,1066,전북특별자치도 전주시 덕진구 산정3길 37,y,전주 아늑호텔.jpg,35.8389853,127.1684764
전주 호텔루고RUGO,모텔,9.7,265,전북특별자치도 전주시 완산구 한두평4길 5-5,y,전주 호텔루고RUGO.jpg,35.8159981,127.1235902
전주 호텔 시그니처Signature,모텔,9.8,835,전북특별자치도 전주시 완산구 한두평4길 5-4,y,전주 호텔 시그니처Signature.jpg,35.8160662,127.1238949
전주 호텔아지트 서신롯데점,모텔,9.6,927,전북특별자치도 전주시 완산구 여울로 25,y,전주 호텔아지트 서신롯데점.jpg,35.8355985,127.1206834
전주 호텔 어반스테이아중점,모텔,9.8,379,전북특별자치도 전주시 덕진구 정언신로 170,y,전주 호텔 어반스테이아중점.jpg,35.831211,127.1720514
전주 제이즈호텔,모텔,9.4,2612,전북특별자치도 전주시 덕진구 산정3길 11,y,전주 제이즈호텔.jpg,35.8375038,127.1702465
전주 화이트호텔,모텔,9.6,869,전북특별자치도 전주시 덕진구 전주천동로 501,y,전주 화이트호텔.jpg,35.8371797,127.1309731
전주 스마일,모텔,9.4,2396,전북특별자치도 전주시 덕진구 송천중앙로 12-12,y,전주 스마일.jpg,35.8475694,127.1192209
전주 와이케이,모텔,9.5,1291,전북특별자치도 전주시 덕진구 명륜5길 10-2,y,전주 와이케이.jpg,35.8432937,127.1256511
전주 에이치에비뉴HAVENUE,모텔,9.7,1005,전북특별자치도 전주시 덕진구 산정2길 6-4,y,전주 에이치에비뉴HAVENUE.jpg,35.8370331,127.1700237
전주 스타 호텔,모텔,9.6,258,전북특별자치도 전주시 완산구 한두평2길 9,y,전주 스타 호텔.jpg,35.813725,127.1239739
전주 윈져,모텔,9.1,3240,전북특별자치도 전주시 덕진구 용산1길 6-3,y,전주 윈져.jpg,35.8352903,127.1300358
전주 테라호텔,모텔,9.5,1049,전북특별자치도 전주시 덕진구 산정3길 26,y,전주 테라호텔.jpg,35.8388356,127.1696204
전주 하운드호텔 터미널점,모텔,9.8,214,전북특별자치도 전주시 덕진구 용산1길 6-5,y,전주 하운드호텔 터미널점.jpg,35.8351234,127.1298279
전주 브라이튼 호텔BRIGHTEN,모텔,9.7,522,전북특별자치도 전주시 완산구 한두평2길 8-3,y,전주 브라이튼 호텔BRIGHTEN.jpg,35.8132924,127.1239952
전주 씨투,모텔,8.9,197,전북특별자치도 전주시 완산구 홍산북로 70-7,y,전주 씨투.jpg,35.8170681,127.1097807
전주 히든호텔,모텔,9.3,1931,전북특별자치도 전주시 덕진구 덕진연못2길 9-5,y,전주 히든호텔.jpg,35.8459419,127.1217744
전주 이야기펜션,펜션NEW,9.9,66,전북특별자치도 전주시 완산구 동부대로 82-18,y,전주 이야기펜션.jpg,35.8027447,127.1931909
전주 에이치에비뉴 덕진점,모텔,9.7,163,전북특별자치도 전주시 덕진구 덕진연못3길 9-1,y,전주 에이치에비뉴 덕진점.jpg,35.8469677,127.120392
전주 라베 호텔,모텔,9.8,551,전북특별자치도 전주시 완산구 한두평2길 8-5,y,전주 라베 호텔.jpg,35.8131409,127.1239643
전주 이츠호텔,모텔,9.8,278,전북특별자치도 전주시 덕진구 아중2길 18-6,y,전주 이츠호텔.jpg,35.8297675,127.1736449
전주 호텔 늘,모텔,9.3,2027,전북특별자치도 전주시 덕진구 아중4길 23,y,전주 호텔 늘.jpg,35.8298931,127.1727387
솔 호텔,호텔비즈니스,9.3,312,전북특별자치도 전주시 덕진구 아중2길 22-4,y,솔 호텔.jpg,35.8295001,127.1733668
전주 HOTEL SOUNDS 호텔사운즈,모텔,9.4,506,전북특별자치도 전주시 완산구 한두평3길 7-6,y,전주 HOTEL SOUNDS 호텔사운즈.jpg,35.8151328,127.1239257
전주 마리 터미널점,모텔,9.6,2008,전북특별자치도 전주시 덕진구 용산3길 21,y,전주 마리 터미널점.jpg,35.8360318,127.1333311
전주 투썸호텔,모텔,9.7,1218,전북특별자치도 전주시 완산구 한두평2길 13-3,y,전주 투썸호텔.jpg,35.8139494,127.1239652
전주 프린스,모텔,9.4,862,전북특별자치도 전주시 완산구 한두평1길 9,y,전주 프린스.jpg,35.8126426,127.1242033
전주 관광호텔,모텔,8.5,1818,전북특별자치도 전주시 완산구 전주객사5길 44-5,y,전주 관광호텔.jpg,35.8204777,127.1454356
호텔 토랑 전주,호텔관광,9.6,81,전북특별자치도 전주시 덕진구 산정2길 23,y,호텔 토랑 전주.jpg,35.8382319,127.168271
전주 브라운도트 중화산동점,모텔,9.6,563,전북특별자치도 전주시 완산구 한두평2길 14-6,y,전주 브라운도트 중화산동점.jpg,35.8131639,127.1242994
전주 비지트 호텔VIZIT HOTEL,모텔,9.6,345,전북특별자치도 전주시 덕진구 아중중앙로 20,y,전주 비지트 호텔VIZIT HOTEL.jpg,35.8301208,127.1723749
전주 호텔아이,모텔,9.4,308,전북특별자치도 전주시 완산구 홍산북로 84,y,전주 호텔아이.jpg,35.8172911,127.1106728
전주 호텔다빈,모텔,9.7,180,전북특별자치도 전주시 완산구 팔달로 160,y,전주 호텔다빈.jpg,35.816772,127.1478207
전주 코자자,모텔,9.2,2074,전북특별자치도 전주시 덕진구 산정2길 18,y,전주 코자자.jpg,35.8378143,127.1690868
전주 한옥마을 비하녹,펜션,9.8,121,전북특별자치도 전주시 완산구 풍남문4길 26-34,y,전주 한옥마을 비하녹.jpg,35.8143547,127.145974
전주 필모텔,모텔,9.6,760,전북특별자치도 전주시 덕진구 도당산로 65-4,y,전주 필모텔.jpg,35.847533,127.1570846
전주 라온 호텔,모텔,9.2,109,전북특별자치도 전주시 완산구 풍남문2길 124-7,y,전주 라온 호텔.jpg,35.8145711,127.143807
전주 스테이 호텔(stay family),호텔비즈니스,10.0,15,전북특별자치도 전주시 덕진구 산정2길 6-5,y,전주 스테이 호텔(stay family).jpg,35.837312,127.1701762
전주 위너,모텔,9.5,2819,전북특별자치도 전주시 덕진구 아중4길 20,y,전주 위너.jpg,35.8303746,127.1730143
전주 호텔폭스FOX 2.0,모텔,9.6,264,전북특별자치도 전주시 완산구 홍산북로 58,y,전주 호텔폭스FOX 2.0.jpg,35.8172936,127.1081653
전주 하운드호텔덕진점,모텔,9.7,564,전북특별자치도 전주시 덕진구 기린대로 532-6,y,전주 하운드호텔덕진점.jpg,35.8460329,127.1214617
전주 넘버25 NO.25 산정점,모텔,9.7,723,전북특별자치도 전주시 덕진구 산정3길 12,y,전주 넘버25 NO.25 산정점.jpg,35.8376909,127.1704686
전주 브라운도트전주터미널점,모텔,9.7,574,전북특별자치도 전주시 덕진구 용산1길 12-4,y,전주 브라운도트전주터미널점.jpg,35.8349444,127.1299176
전주 호텔 더 빈센트,호텔비즈니스,9.8,276,전북특별자치도 전주시 완산구 전라감영로 76,y,전주 호텔 더 빈센트.jpg,35.8156922,127.14746
전주 어썸호텔,모텔,9.6,346,전북특별자치도 전주시 덕진구 용산1길 6-1,y,전주 어썸호텔.jpg,35.8354415,127.1301932
전주 루이호텔,모텔,9.3,421,전북특별자치도 전주시 완산구 한두평2길 10,y,전주 루이호텔.jpg,35.8134288,127.1240704
전주 호텔젠,모텔,9.5,2131,전북특별자치도 전주시 덕진구 아중4길 14-4,y,전주 호텔젠.jpg,35.8307891,127.1736571
전주 화려한외출2,모텔,8.6,1914,전북특별자치도 전주시 완산구 한두평2길 8-11,y,전주 화려한외출2.jpg,35.812679,127.1236124
전주 소소한 한옥,게하 · 한옥,10.0,348,전북특별자치도 전주시 완산구 은행로 5-7,y,전주 소소한 한옥.jpg,35.8196906,127.1520861
전주 제이브라운,모텔,9.8,981,전북특별자치도 전주시 덕진구 산정1길 26,y,전주 제이브라운.jpg,35.8383508,127.1681069
전주 호텔 달빛소리 드라이브인,모텔,9.4,1508,전북특별자치도 전주시 덕진구 산정2길 12-21,y,전주 호텔 달빛소리 드라이브인.jpg,35.8378354,127.1696974
전주 더그레이호텔,모텔,9.4,331,전북특별자치도 전주시 덕진구 세병서로 18-6,y,전주 더그레이호텔.jpg,35.8713325,127.1239771
전주 칸,모텔,9.5,1989,전북특별자치도 전주시 덕진구 산정2길 24-3,y,전주 칸.jpg,35.8384792,127.1688166
전주 엘도라도,모텔,9.3,574,전북특별자치도 전주시 완산구 한두평4길 11-3,y,전주 엘도라도.jpg,35.8159627,127.1241614
전주 데이나이스,모텔,9.3,140,전북특별자치도 전주시 완산구 홍산북로 46,y,전주 데이나이스.jpg,35.8172929,127.1069878
전주 쿡,모텔,9.3,484,전북특별자치도 전주시 완산구 홍산북로 84-10,y,전주 쿡.jpg,35.8170658,127.1106722
전주 에코스테이 호텔,모텔,9.6,449,전북특별자치도 전주시 덕진구 세병서로 8-27,y,전주 에코스테이 호텔.jpg,35.8714717,127.1228096
전주 황금,모텔,9.7,3666,전북특별자치도 전주시 덕진구 용산3길 25,y,전주 황금.jpg,35.8357955,127.1335972
전주 호텔루나,모텔,9.6,1224,전북특별자치도 전주시 덕진구 아중4길 14-7,y,전주 호텔루나.jpg,35.8308647,127.1732866
전주 풍남가족호텔,호텔2성급,9.2,62,전북특별자치도 전주시 완산구 전주객사2길 45-7,y,전주 풍남가족호텔.jpg,35.8184977,127.1401717
전주 호텔유,모텔,9.3,379,전북특별자치도 전주시 완산구 홍산북로 84-12,y,전주 호텔유.jpg,35.817066,127.1104675
전주 료칸호텔엣지,모텔,9.9,18,전북특별자치도 전주시 덕진구 산정2길 28-5,y,전주 료칸호텔엣지.jpg,35.8389367,127.1687206
전주 카누KANU,모텔,9.5,1931,전북특별자치도 전주시 덕진구 산정2길 12-7,y,전주 카누KANU.jpg,35.8377847,127.1693676
전주 카마호텔,모텔,9.7,308,전북특별자치도 전주시 완산구 한두평2길 8-9,y,전주 카마호텔.jpg,35.8128247,127.1237544
전주 루엘호텔 덕진공원 본점,호텔2성급,9.8,257,전북특별자치도 전주시 덕진구 기린대로 540,y,전주 루엘호텔 덕진공원 본점.jpg,35.8463755,127.1205858
전주 칼튼 힐 호텔,모텔,9.6,659,전북특별자치도 전주시 덕진구 용산3길 35,y,전주 칼튼 힐 호텔.jpg,35.8347435,127.1344824
전주 후,모텔,9.3,3243,전북특별자치도 전주시 덕진구 용산1길 12-2,y,전주 후.jpg,35.8351755,127.1302288
전주 타임 호텔,모텔,9.5,151,전북특별자치도 전주시 완산구 홍산북로 46-5,y,전주 타임 호텔.jpg,35.8170696,127.1071645
전주 스테이노트,펜션풀빌라,9.9,30,전북특별자치도 전주시 완산구 전라감영로 19-8,y,전주 스테이노트.jpg,35.8151684,127.1417013
전주 애플모텔,모텔,9.3,159,전북특별자치도 전주시 완산구 홍산북로 50,y,전주 애플모텔.jpg,35.8172944,127.1073436
전주 한옥호텔 궁,모텔,9.4,400,전북특별자치도 전주시 완산구 풍남문4길 25-19,y,전주 한옥호텔 궁.jpg,35.8143555,127.1445708
전주 플렉스호텔,모텔,9.7,1592,전북특별자치도 전주시 덕진구 산정2길 11,y,전주 플렉스호텔.jpg,35.8372624,127.1692313
이비스 스타일 앰배서더 전주,호텔3성급,9.3,98,전북특별자치도 전주시 완산구 전주객사4길 74-50,y,이비스 스타일 앰배서더 전주.jpg,35.8208252,127.1443089
전주 한옥마을 별빛궁,게하 · 한옥,9.9,426,전북특별자치도 전주시 완산구 태조로 12-18,y,전주 한옥마을 별빛궁.jpg,35.8156352,127.1533232
전주한옥호텔 태조궁,호텔비즈니스,9.2,64,전북특별자치도 전주시 완산구 전라감영로 40,y,전주한옥호텔 태조궁.jpg,35.8151442,127.1434894
전주 호텔야자 전주터미널점,모텔,9.4,254,전북특별자치도 전주시 덕진구 용산2길 13,y,전주 호텔야자 전주터미널점.jpg,35.8359555,127.1317486
전주 스페셜,모텔,8.8,397,전북특별자치도 전주시 완산구 한두평2길 8-7,y,전주 스페셜.jpg,35.8129791,127.1238724
호텔 바라한,호텔비즈니스,9.4,112,전북특별자치도 전주시 덕진구 용산2길 17-5,y,호텔 바라한.jpg,35.8360054,127.1320939
엔브릿지 호텔,호텔3성급,9.3,357,전북특별자치도 전주시 완산구 전주천서로 81,y,엔브릿지 호텔.jpg,35.8098982,127.1524166
전주 몽블랑,모텔,9.7,342,전북특별자치도 전주시 완산구 한두평2길 11,y,전주 몽블랑.jpg,35.8137043,127.1241696
전주 한옥마을 한지꿀잠,펜션,9.2,95,전북특별자치도 전주시 완산구 최명희길 26-41,y,전주 한옥마을 한지꿀잠.jpg,35.8166592,127.1509733
전주 에비뉴호텔,모텔,9.7,2016,전북특별자치도 전주시 덕진구 산정2길 12-16,y,전주 에비뉴호텔.jpg,35.8375457,127.1699554
전주 핀앤핏하우스,모텔,8.9,328,전북특별자치도 전주시 덕진구 덕진광장로 8-1,y,전주 핀앤핏하우스.jpg,35.8439949,127.1247137
전주 한옥마을 인디고,게하 · 한옥,9.9,216,전북특별자치도 전주시 완산구 은행로 5-9,y,전주 한옥마을 인디고.jpg,35.8196952,127.1522039
전주 메이드HOTEL MADE,모텔,9.7,3263,전북특별자치도 전주시 덕진구 산정2길 12-8,y,전주 메이드HOTEL MADE.jpg,35.8372779,127.1698378
전주 그랜드힐스턴 호텔,호텔3성급,9.2,180,전북특별자치도 전주시 완산구 온고을로 211,y,전주 그랜드힐스턴 호텔.jpg,35.8385207,127.1009938
전주 POP,모텔,9.1,422,전북특별자치도 전주시 완산구 홍산북로 74,y,전주 POP.jpg,35.8172918,127.1100945
전주 한옥마을 한옥미담,게하 · 한옥,9.8,255,전북특별자치도 전주시 완산구 동문길 54-41,y,전주 한옥마을 한옥미담.jpg,35.8193126,127.1505815
전주 호텔야자 중화산점,모텔,9.4,41,전북특별자치도 전주시 완산구 한두평3길 5,y,전주 호텔야자 중화산점.jpg,35.8148938,127.1234975
